Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,age,agerange
4699360,"Stock, Lara",CRO,F,1992,WGM,2346,0,0,Inactive,28,20-30
709751,"Gara, Anita",HUN,F,1983,IM,2345,2279,2244,Active,37,30-40
5012600,"Karavade, Eesha",IND,F,1987,IM,2345,2344,2258,Active,33,30-40
1101315,"Brustman, Agnieszka",POL,F,1962,WGM,2344,2347,2279,Inactive,58,50-60
12401838,"Vo, Thi Kim Phung",VIE,F,1993,WGM,2344,2208,2291,Active,27,20-30
4164083,"Kovanova, Baira",RUS,F,1987,WGM,2343,2315,2187,Active,33,30-40
4182146,"Voit, Daria",RUS,F,1994,WGM,2343,2361,2356,Active,26,20-30
13600230,"Alexandria, Nana",GEO,F,1949,WGM,2342,0,0,Inactive,71,70-80
13600656,"Lomineishvili, Maia",GEO,F,1977,IM,2342,2347,2348,Inactive,43,40-50
4139690,"Movsesian, Julia",SVK,F,1981,WGM,2342,2271,2354,Active,39,30-40
13602055,"Khukhashvili, Sopiko",GEO,F,1985,IM,2339,2309,2282,Active,35,30-40
750930,"Marjanovic, Annamaria",HUN,F,2001,WGM,2338,2251,2156,Active,19,10-20
739049,"Papp, Petra",HUN,F,1993,WGM,2338,2239,2259,Active,27,20-30
14110571,"Vozovic, Oksana",UKR,F,1985,WGM,2338,0,2294,Inactive,35,30-40
1119990,"Zawadzka, Beata",POL,F,1986,WGM,2338,2242,0,Inactive,34,30-40
1131044,"Kulon, Klaudia",POL,F,1992,IM,2336,2239,2272,Active,28,20-30
4159209,"Malysheva, Polina",RUS,F,1988,WIM,2336,0,0,Inactive,32,30-40
14102145,"Melamed, Tatjana",GER,F,1974,WGM,2336,2352,2363,Active,46,40-50
4139518,"Zaiatz, Elena",RUS,F,1969,IM,2336,2258,2342,Inactive,51,50-60
704458,"Grabics, Monika",HUN,F,1976,WGM,2335,0,0,Inactive,44,40-50
24606812,"Papp, Sarah",GER,F,1988,WGM,2334,2361,2325,Active,32,30-40
8602425,"Gong, Qianyun",SGP,F,1985,WGM,2333,2322,2257,Active,35,30-40
4196872,"Savina, Anastasia",RUS,F,1992,IM,2333,2220,2229,Active,28,20-30
14100126,"Shvayger, Yuliya",ISR,F,1994,IM,2332,2260,2223,Active,26,20-30
5004098,"Vijayalakshmi, Subbaraman",IND,F,1979,IM,2332,2262,2252,Active,41,40-50
322750,"Nemcova, Katerina",USA,F,1990,WGM,2331,2276,2361,Inactive,30,20-30
4137582,"Ubiennykh, Ekaterina",RUS,F,1983,WIM,2331,2310,2322,Inactive,37,30-40
6302599,"Ozturk, Kubra",TUR,F,1991,WGM,2330,2293,2384,Active,29,20-30
32084030,"Garcia Martin, Marta",ESP,F,2000,IM,2328,2097,2177,Active,20,10-20
8605912,"Li, Xueyi",CHN,F,1993,WGM,2328,2171,2091,Active,27,20-30
13704788,"Nakhbayeva, Guliskhan",KAZ,F,1991,IM,2328,2270,2185,Active,29,20-30
5000629,"Pratyusha, Bodda",IND,F,1997,WIM,2328,2094,2142,Active,23,20-30
14101513,"Zhukova, Natalia",UKR,F,1979,GM,2328,2312,2369,Active,41,40-50
14111390,"Hryhorenko, Nataliya",UKR,F,1986,WIM,2327,0,0,Inactive,34,30-40
8614750,"Ning, Kaiyu",CHN,F,2004,WIM,2327,1884,2013,Active,16,10-20
4000510,"Berend, Elvira",LUX,F,1965,WGM,2326,2326,2340,Active,55,50-60
14100380,"Litynska, Marta",UKR,F,1949,WGM,2326,0,0,Inactive,71,70-80
8602140,"Wang, Xuan",CHN,F,1986,No Title,2326,0,0,Inactive,34,30-40
1118080,"Worek, Joanna",CZE,F,1986,WGM,2326,2307,2157,Active,34,30-40
24165956,"Chernyak, Viktoria",RUS,F,1997,WGM,2325,2232,2200,Active,23,20-30
1121979,"Majdan, Joanna",POL,F,1988,WGM,2325,2217,2249,Active,32,30-40
722855,"Rudolf, Anna",HUN,F,1987,IM,2325,0,0,Inactive,33,30-40
404683,"Sachs, Gulnara",ENG,F,1963,WIM,2325,0,0,Inactive,57,50-60
4108370,"Shumiakina, Tatiana",RUS,F,1965,WGM,2325,0,0,Inactive,55,50-60
14109395,"Struchkova, Svetlana",UKR,F,1963,WGM,2325,0,0,Inactive,57,50-60
14137054,"Berdnyk, Mariia",UKR,F,2003,FM,2324,2169,2054,Active,17,10-20
4623614,"Kachiani-Gersinska, Ketino",GER,F,1971,IM,2324,2308,0,Active,49,40-50
1159569,"Antolak, Julia",POL,F,2000,WIM,2323,2130,2040,Active,20,10-20
8600643,"Li, Ruofan",CHN,F,1978,IM,2323,2363,2263,Active,42,40-50
1107445,"Dworakowska, Joanna",POL,F,1978,IM,2322,2237,2228,Inactive,42,40-50
700550,"Madl, Ildiko",HUN,F,1969,IM,2322,0,0,Active,51,50-60
12502014,"Pourkashiyan, Atousa",IRI,F,1988,WGM,2322,2290,2285,Active,32,30-40
2011905,"Shahade, Jennifer",USA,F,1980,WGM,2322,0,2294,Inactive,40,30-40
2907763,"Videnova, Iva",BUL,F,1987,IM,2322,2319,2248,Inactive,33,30-40
1194763,"Waszczuk, Patrycja",POL,F,2003,WFM,2321,1962,1669,Active,17,10-20
4671660,"Schleining, Zoya",GER,F,1961,IM,2320,2340,0,Active,59,50-60
4119118,"Shadrina, Tatiana",RUS,F,1974,WGM,2320,2349,2340,Inactive,46,40-50
13702971,"Dauletova, Gulmira",KAZ,F,1988,WGM,2319,2184,2205,Active,32,30-40
2810964,"Efroimski, Marsel",ISR,F,1995,WGM,2319,2163,2215,Active,25,20-30
4148827,"Karnaukhova, Elmira",RUS,F,1985,WGM,2319,0,2290,Inactive,35,30-40
13603191,"Khomeriki, Nino",GEO,F,1998,WGM,2319,2342,2210,Active,22,20-30
936286,"Rakic, Marija",SRB,F,1990,WIM,2319,2272,2263,Inactive,30,20-30
1017292,"Haast, Anne",NED,F,1993,WGM,2318,0,2320,Active,27,20-30
12528897,"Alinasab, Mobina",IRI,F,2000,WIM,2317,2143,2061,Active,20,10-20
1150677,"Sliwicka, Alicja",POL,F,2001,WIM,2317,2059,2181,Active,19,10-20
8601089,"Xu, Yuanyuan",CHN,F,1981,WGM,2317,2294,2281,Active,39,30-40
4105621,"Demina, Julia",RUS,F,1969,WGM,2316,2288,0,Inactive,51,50-60
13702122,"Duisenova, Madina",KAZ,F,1983,WGM,2315,2323,0,Inactive,37,30-40
4106121,"Idelchik, Liubov M",RUS,F,0,No Title,2315,0,0,Inactive,0,
14609215,"Unuk, Laura",SLO,F,1999,WGM,2315,2187,2176,Active,21,20-30
2078341,"Yu, Jennifer",USA,F,2002,FM,2315,1862,1920,Active,18,10-20
4680790,"Graf, Rena",GER,F,1966,WGM,2314,0,0,Inactive,54,50-60
13400045,"Kadimova, Ilaha",AZE,F,1975,WGM,2314,2304,0,Inactive,45,40-50
12956830,"Schulze, Lara",GER,F,2002,FM,2314,2125,2142,Active,18,10-20
4180640,"Vasilkova, Svetlana",RUS,F,1988,WIM,2314,0,0,Inactive,32,30-40
4500512,"Narva, Mai",EST,F,1999,WIM,2313,2213,2220,Active,21,20-30
13400010,"Sofieva, Ainur",AZE,F,1970,WGM,2313,0,0,Inactive,50,40-50
3520498,"Cervantes Landeiro, Thalia",USA,F,2002,FM,2311,1936,2021,Active,18,10-20
1201590,"Cosma, Elena-Luminita",ROU,F,1972,WGM,2311,2244,2079,Active,48,40-50
2000784,"Akhsharumova, Anna",USA,F,1957,WGM,2310,2287,0,Inactive,63,60-70
3508072,"Forgas Moreno, Yaniela",CUB,F,1992,WIM,2310,2189,2108,Active,28,20-30
8601747,"Liu, Bairu",CHN,F,1982,No Title,2310,0,0,Inactive,38,30-40
13402005,"Mamedjarova, Turkan",AZE,F,1989,WGM,2309,2243,2263,Active,31,30-40
13601440,"Gvetadze, Sofio",GEO,F,1983,IM,2308,2215,2289,Active,37,30-40
4682920,"Klink, Tamara",GER,F,1967,WGM,2308,0,0,Inactive,53,50-60
